Price,Locality,Area,latitude,longitude,BHK,Bathrooms,Balcony,Status,neworold,parking,Furnished_status,Lift,Landmarks,type_of_building,desc,Price_sqft,Price_per_SqFt,Avg_Price,Avg_Price_Per_SqFt,Listing_Count,Price_Tag
32500000.0,"Sultanpur, New Delhi, Sultanpur, New Delhi - South, Delhi NCR",3000.0,28.4969141,77.1652546,3.0,3.0,2.0,Ready to Move,Resale,2.0,,1.0,Near Sultanpur Metro Station,Flat,"
                    
                    
                    
                       3 BHK Apartment available for Sale in Sultanpur
                    
                ",10833.333333333334,10833.333333333334,32500000.0,10833.33,2,Fair Market Price
11000000.0,"Sector 71, Gurgaon, Delhi NCR",1743.0,28.419032,77.028272,3.0,3.0,2.0,Ready to Move,New Property,1.0,,,,Individual House,"


                                A newly constructed 3BHK flat is available for sale in “CHD Avenue 71”, Sector 71, Gurgaon. This flat is benefited with freehold ownership rights and therefore a safe and secure investment to make. So, without further ado, book this flat and live a comfortable life here.Property SpecificationsEast facing, this flat spreads across a super area of 1743sqft and is absolutely ready to move in with your loved ones. Positioned on the 12th floor, this flat is up to date with necessary electrical fixtures such as lights and fans.Coming to the floor plan, this flat encompasses 3 bedrooms, 4 western style bathrooms, 2 wide and airy balconies, a living cum dining area and a kitchen that is well equipped with a chimney and storage cabinets.Additionally, a servant room with an attached bathroom and a pantry are also present here. Well equipped with a geyser in one of the bathrooms, of the 3 bathrooms, one is commonly accessible whereas the other three are attached to the bedrooms.Offering you unblocked views of the beautiful garden and the main road, the balconies are attached to the hall and a bedroom respectively.FacilitiesFor you to comfortably place your vehicles, reserved covered parking spaces for a car is present here. Also, this flat is facilitated with basic facilities such as round the clock water supply, 100% power backup, tight security and CCTV cameras.Additionally, modern amenities include- kids play area, modern facilities like Wi-Fi connection, clubhouse, beautiful themed gardens, parks, ponds, a luxurious swimming pool and a premium gazebo.LocalityThe National Highway is located at a distance of 25 min drive whereas the metro station is dotted at a driving distance of 5min. Also, other public transport facilities such as taxis, auto rickshaws and buses are easily available here.Reputed schools such as Indus World School and St. Xavier’s High School is situated at a very short distance. Medanta Hospital is located at a distance of min drive that will help you in case of medical emergencies.Shopping complexes and other supermarkets and local markets are situated in the vicinity whereas nationalised banks and ATMs are present at a stone throw distance that will help you accomplish your banking needs and services. 

more

",6310.9581181870335,6310.9581181870335,12750000.0,6812.3,4,Fair Market Price
3400000.0,"Bhopura, Ghaziabad, Delhi NCR",1050.0,28.7005505,77.3286995,2.0,2.0,,,Resale,,Unfurnished,,,Flat,"
",3238.095238095238,3238.095238095238,3169600.0,3094.39,25,Fair Market Price
11100000.000000002,"Ashoka Enclave Part 1, Faridabad, Delhi NCR",2100.0,28.468477249145508,77.31389617919922,4.0,3.0,2.0,Ready to Move,Resale,,Furnished,,,Flat,"
                    
                    
                    
                       Multistorey apartment is available for sale. It is a good location property. Please contact for more details.
                    
                ",5285.714285714286,5285.714285714286,11050000.0,5261.9,2,Fair Market Price
3500000.0,"Sector 5 Rajendra Nagar, Ghaziabad, Delhi NCR",900.0,28.6809994,77.356998,2.0,2.0,1.0,Ready to Move,Resale,,Unfurnished,,,Flat,"
                    
                    
                    
                       It's a 3rd floor Builder Floor Apartment in a building of total 3 floors.
                    
                ",3888.8888888888887,3888.8888888888887,3512500.0,4301.34,8,Fair Market Price
4200000.0,"Noida Extension, Noida, Noida Extension, Noida, Delhi NCR",1040.0,28.616204,77.422256,2.0,2.0,2.0,Ready to Move,Resale,1.0,,3.0,14th avenue gaur city 2 Noida extension sector 16c  Gautam Budh Nagar,Flat,"
                    
                    
                    
                       new flat all wooden work completed all superb flat currently rent out 10000 plus maintenance all wooden working and good society all
                    
                ",4038.4615384615386,4038.4615384615386,4140909.09,3771.5,11,Fair Market Price
82000000.0,"Golf Course Road, Gurgaon, Golf Course Road, Gurgaon, Delhi NCR",5495.0,28.4361825275276,77.1043058418003,5.0,6.0,2.0,Ready to Move,Resale,3.0,,3.0,the property is close to rapid metro and opposite to centrum plaza,Flat,"


                                Buy apartment in Salcon Verandas Gurgaon, this property is a luxury property on Golf Course Road. These incredibly spacious apartments come in 4, 5 and 6 bedroom variations. Floor plan of Salcon Verandas Gurgaon is very efficient. Resale price of Salcon Verandas Gurgaon is very attractive for end user looking to buy a luxury property in Gurgaon. There are three tower of 4BHK - CORAL, IRIS & MAPLE, two towers of 5 BHK - BASIL & OLIVE and one exclusive tower of 6 BHK called AZIZA. Verandas is considered the 3rd most luxurious Ready to Move in property to buy on Golf Course Road Gurgaon after the likes of DLF MAGNOLIAS and DLF ARALIAS
                            
more

",14922.65696087352,14922.65696087352,83166666.67,15449.52,3,Fair Market Price
8900000.0,"Sector 37D, Gurgaon, Delhi NCR",1815.0,28.45251307,76.97627035,3.0,3.0,,Ready to Move,Resale,,,,,Flat,"
                    
                    
                    
                       Multistorey apartment is available for sale. It is a good location property. Please contact for more details.
                    
                ",4903.581267217631,4903.581267217631,8826923.08,5151.39,26,Fair Market Price
3200000.0,"Raj Nagar Extension, Ghaziabad, Delhi NCR",1041.0,28.701837981083,77.423206716491,2.0,2.0,3.0,Ready to Move,Resale,,,,,Flat,"
",3073.967339097022,3073.967339097022,3405769.23,3374.03,104,Fair Market Price
7500000.0,"Sector 77, Gurgaon, Delhi NCR",1260.0,28.3824895,76.9823169,2.0,2.0,,,New Property,1.0,,2.0,Near Toll Plaza,Individual House,"
                    
                    
                    
                        Freehold Multistorey Apartment is located at 10th floor in a tower of total 17 floors. It offers an unmatched view of Main Road in front. Additional space for Study Room is available. Reserved covered car parking for residents available. 
                    
                ",5952.380952380952,5952.380952380952,7224000.0,5515.26,5,Fair Market Price
17200000.0,"Sector 10 Dwarka, New Delhi - Dwarka, Delhi NCR",2025.0,28.5858422747995,77.0606247868441,3.0,2.0,4.0,Ready to Move,Resale,2.0,,2.0,near inderprastha international school,Flat,"


                                This is a spacious 3 bed rooms  and 3 washrooms flat in a very well maintained society near market available for sale in sector 10 Dwarka, Delhi. It is located in IIT Engeneers apartment, which is a very good society  near sector 6 and 10 market  It is an ideal accommodation for family.  It has facilities like intercom facility, lifts, maintenance staff, park, visitor parking, water storage and security fire alarm. Good schools, market and  metro station is within walking distance. Sports complex is within walking distance.
                            
more

",8493.827160493827,8493.827160493827,16600000.0,8691.36,2,Fair Market Price
5150000.0,"Sector 143, Noida, Sector 143, Noida, Delhi NCR",1234.0,28.500621,77.424203,2.0,2.0,2.0,Ready to Move,Resale,,,,Near by Gulshan Ikebana sector 143 Noida,Flat,"
                    
                    
                    
                       It is having 2BHK with study room, drawing dinning, 2 toilets, big kitchen three sides counter, its having total super area 1234 sqft, and having big park, badminton court, basket ball court, children play area, shopping complex within society etc.
                    
                ",4173.419773095624,4173.419773095624,4983333.33,4344.61,3,Fair Market Price
